09/28/2016 - CRIS, 20d
09/28/2016 - WINT, 20d
09/28/2016 - CYTK, 20d
09/28/2016 - PTLA, 20d
09/28/2016 - BLPH, 20d
09/28/2016 - ATNM, 20d
09/28/2016 - EIGR, 20d
09/28/2016 - OCUL, 20d
09/28/2016 - NBRV, 20d
09/28/2016 - PTCT, 20d
09/28/2016 - CYTX, 20d
09/28/2016 - NKTR, 20d
09/28/2016 - TTPH, 20d
09/28/2016 - MDCO, 20d
09/28/2016 - SCYX, 20d
09/28/2016 - CYTR, 20d
09/28/2016 - ARRY, 20d
09/28/2016 - AKAO, 20d
09/28/2016 - TBRA, 20d
09/28/2016 - RXII, 20d
09/28/2016 - TENX, 20d
09/28/2016 - THERF, 20d
09/28/2016 - FLXN, 20d
09/28/2016 - AERI, 20d
09/28/2016 - AEZS, 20d
09/28/2016 - LXRX, 20d
09/28/2016 - RDHL, 20d
09/28/2016 - MESO, 20d
09/28/2016 - ANTH, 20d
09/28/2016 - NEOT, 20d
09/28/2016 - ICPT, 20d
09/28/2016 - DMTX, 20d
09/28/2016 - MACK, 20d
09/28/2016 - ADRO, 20d
09/28/2016 - CCXI, 20d
09/28/2016 - CFRX, 20d
09/28/2016 - CATB, 20d
09/28/2016 - ZGNX, 20d
09/28/2016 - CERC, 20d
09/28/2016 - TRVN, 20d
09/28/2016 - ACRX, 20d
09/28/2016 - IPCI, 20d
09/28/2016 - ARDM, 20d
09/28/2016 - ATRS, 20d
09/28/2016 - VICL, 20d
09/28/2016 - SCMP, 20d
09/28/2016 - REPH, 20d
09/28/2016 - BDSI, 20d
09/28/2016 - CERU, 20d
09/28/2016 - INCY, 20d
09/28/2016 - ARDX, 20d
09/28/2016 - SNGX, 20d
09/28/2016 - OPK, 20d
09/28/2016 - SGYP, 20d
